subject_id,in_gard,in_mondo,status
GARD:1,True,True,both
GARD:10000,True,True,both
GARD:10001,True,True,both
GARD:10005,True,True,both
GARD:10007,True,True,both
GARD:10009,True,True,both
GARD:10010,True,True,both
GARD:10011,True,True,both
GARD:10012,True,True,both
GARD:10014,True,True,both
GARD:10018,True,True,both
GARD:1002,True,True,both
GARD:10023,True,True,both
GARD:10024,True,True,both
GARD:10025,True,True,both
GARD:10027,True,True,both
GARD:10028,True,True,both
GARD:10029,True,True,both
GARD:10033,True,True,both
GARD:10034,True,True,both
GARD:10037,True,True,both
GARD:10039,True,True,both
GARD:10041,True,True,both
GARD:10043,True,True,both
GARD:10045,True,True,both
GARD:10046,True,True,both
GARD:10047,True,True,both
GARD:10048,True,True,both
GARD:10049,True,True,both
GARD:10050,True,True,both
GARD:10051,True,True,both
GARD:10053,True,True,both
GARD:10054,True,True,both
GARD:10056,True,True,both
GARD:10057,True,True,both
GARD:10061,True,True,both
GARD:10066,True,True,both
GARD:10070,True,True,both
GARD:10072,True,True,both
GARD:10075,True,True,both
GARD:10081,True,True,both
GARD:10082,True,True,both
GARD:10083,True,True,both
GARD:10084,True,True,both
GARD:10088,True,True,both
GARD:10089,True,True,both
GARD:10090,True,True,both
GARD:10091,True,True,both
GARD:10092,True,True,both
GARD:10093,True,True,both
GARD:10094,True,True,both
GARD:10095,True,True,both
GARD:10096,True,True,both
GARD:10097,True,True,both
GARD:10099,True,True,both
GARD:101,True,True,both
GARD:10101,True,True,both
GARD:10103,True,True,both
GARD:10104,True,True,both
GARD:10106,True,True,both
GARD:10108,True,True,both
GARD:10109,True,True,both
GARD:10111,True,True,both
GARD:10116,True,True,both
GARD:10118,True,True,both
GARD:10119,True,True,both
GARD:10120,True,True,both
GARD:10121,True,True,both
GARD:10123,True,True,both
GARD:10126,True,True,both
GARD:10127,True,True,both
GARD:10128,True,True,both
GARD:10129,True,True,both
GARD:10130,True,True,both
GARD:10131,True,True,both
GARD:10132,True,True,both
GARD:10133,True,True,both
GARD:10138,True,True,both
GARD:10140,True,True,both
GARD:10142,True,True,both
GARD:10144,True,True,both
GARD:10145,True,True,both
GARD:10147,True,True,both
GARD:10148,True,True,both
GARD:10149,True,True,both
GARD:10151,True,True,both
GARD:10152,True,True,both
GARD:10153,True,True,both
GARD:10156,True,True,both
GARD:10163,True,True,both
GARD:10167,True,True,both
GARD:10168,True,True,both
GARD:10169,True,True,both
GARD:1017,True,True,both
GARD:10173,True,True,both
GARD:10175,True,True,both
GARD:10177,True,True,both
GARD:10179,True,True,both
GARD:10181,True,True,both
GARD:10184,True,True,both
GARD:10188,True,True,both
GARD:10189,True,True,both
GARD:1019,True,True,both
GARD:10190,True,True,both
GARD:10193,True,True,both
GARD:10199,True,True,both
GARD:102,True,True,both
GARD:10200,True,True,both
GARD:10201,True,True,both
GARD:10202,True,True,both
GARD:10203,True,True,both
GARD:10204,True,True,both
GARD:10205,True,True,both
GARD:10206,True,True,both
GARD:10207,True,True,both
GARD:10208,True,True,both
GARD:10209,True,True,both
GARD:10210,True,True,both
GARD:10211,True,True,both
GARD:10212,True,True,both
GARD:10213,True,True,both
GARD:10214,True,True,both
GARD:10215,True,True,both
GARD:10216,True,True,both
GARD:10220,True,True,both
GARD:10221,True,True,both
GARD:10223,True,True,both
GARD:10224,True,True,both
GARD:10225,True,True,both
GARD:10226,True,True,both
GARD:10229,True,True,both
GARD:10230,True,True,both
GARD:10237,True,True,both
GARD:10238,True,True,both
GARD:10239,True,True,both
GARD:10241,True,True,both
GARD:10244,True,True,both
GARD:10247,True,True,both
GARD:10248,True,True,both
GARD:1025,True,True,both
GARD:10252,True,True,both
GARD:10263,True,True,both
GARD:10266,True,True,both
GARD:10267,True,True,both
GARD:10277,True,True,both
GARD:10280,True,True,both
GARD:10281,True,True,both
GARD:10283,True,True,both
GARD:10287,True,True,both
GARD:10288,True,True,both
GARD:1029,True,True,both
GARD:10290,True,True,both
